vote,age,gender,degree,locality,katz_centrality
0,24,M,1,"Zadar, Croatia",0.0027
0,23,M,1,"Slavonski Brod, Croatia",0.00266
0,59,F,2,"Mursko Sredisce, Croatia",0.00278
0,25,F,10,"Karlovac, Croatia",0.00348
0,29,F,2,"Zagreb, Croatia",0.00273
0,44,F,13,"Carevdar, Croatia",0.00521
0,22,F,3,unkown,0.00277
0,72,F,69,"Osijek, Croatia",0.02553
0,37,M,5,"Zagreb, Croatia",0.00537
0,26,F,12,"Zagreb, Croatia",0.00468
0,17,F,3,"Slavonski Brod, Croatia",0.00279
0,25,M,1,"Slakovci, Croatia",0.00266
0,23,M,3,"Trogir, Croatia",0.00278
0,20,F,6,"Vukovar, Croatia",0.00303
0,19,M,2,"Zagreb, Croatia",0.00271
0,31,M,2,"Zadar, Croatia",0.00275
0,15,M,2,"Ivanic-Grad, Croatia",0.00271
0,23,F,8,"Zagreb, Croatia",0.00399
0,18,M,2,"Zrnovnica, Croatia",0.00273
0,22,M,16,"Zagreb, Croatia",0.00486
0,20,M,5,"Posusje, Bosnia and Herzegovina",0.003
0,40,M,3,"Pozega, Croatia",0.00282
0,22,F,36,"Zagreb, Croatia",0.01889
0,20,M,29,"Lobor, Croatia",0.00904
0,24,M,4,unkown,0.00293
0,28,M,2,unkown,0.00277
0,19,F,19,"Kaptol, Croatia",0.00451
0,23,M,6,unkown,0.00337
0,18,F,20,"Zagreb, Croatia",0.00543
0,26,F,5,"Zagreb, Croatia",0.00343
0,18,M,1,"22300, Knin, Croatia",0.00267
0,16,F,1,"Zagreb, Croatia",0.00265
0,23,M,23,"Zagreb, Croatia",0.0125
0,31,F,9,"10450, Jastrebarsko, Croatia",0.00478
0,20,M,5,"Zagreb, Croatia",0.00349
0,32,M,2,"Zagreb, Croatia",0.00279
0,25,M,17,"Osijek, Croatia",0.00488
0,18,M,14,"Split, Croatia",0.00372
0,29,F,2,unkown,0.00298
0,19,F,1,"Polaca, Croatia",0.00266
0,26,M,2,Abu Dhabi - United Arab Emirates,0.00292
0,18,F,8,"34310, Pleternica, Croatia",0.00312
0,38,M,1,"Zagreb, Croatia",0.00278
0,56,F,8,"Nedelisce, Croatia",0.00356
0,20,F,2,"Kastel Luksic, Croatia",0.00273
0,18,F,3,"Krushevo, Macedonia (FYROM)",0.00277
0,22,F,20,"Zagreb, Croatia",0.01119
0,26,F,6,"Rome, Italy",0.00409
0,40,F,4,"Pakostane, Croatia",0.00315
0,42,F,1,"44415, Topusko, Croatia",0.00265
0,21,M,4,"Zagreb, Croatia",0.00307
0,20,M,8,"Rijeka, Croatia",0.00319
0,14,M,1,"Kastel Gomilica, Croatia",0.00266
0,40,F,42,"Split, Croatia",0.00742
0,26,M,17,"Zagreb, Croatia",0.00643
0,36,M,5,"Zagreb, Croatia",0.00299
0,27,M,8,unkown,0.00546
0,21,M,18,"Zagreb, Croatia",0.00574
0,22,F,3,"Rijeka, Croatia",0.00308
0,17,F,4,"21230, Sinj, Croatia",0.00297
0,21,M,8,"Zagreb, Croatia",0.00373
0,19,F,1,"21260, Imotski, Croatia",0.00266
0,32,F,3,"Bibinje, Croatia",0.0028
0,17,F,4,"Pozega, Croatia",0.00285
0,44,F,1,unkown,0.00267
0,19,M,1,"Krizevci, Croatia",0.00266
0,29,M,1,unkown,0.00277
0,18,F,1,"Kapela Podravska, Croatia",0.00267
0,34,M,3,"Zagreb, Croatia",0.00285
0,20,F,3,"Sesvete, Croatia",0.0037
0,107,F,5,unkown,0.00305
0,16,M,3,"Vukovar, Croatia",0.00278
0,25,M,7,unkown,0.00369
0,43,F,1,"Kupinecki Kraljevec, Croatia",0.00271
0,30,M,2,"Donji Miholjac, Croatia",0.00281
0,29,M,2,unkown,0.00271
0,25,F,28,"Rijeka, Croatia",0.01448
0,21,M,2,"Zagreb, Croatia",0.00273
0,31,F,8,"Bangkok, Thailand",0.00543
